@relation PE-weka.filters.unsupervised.attribute.Standardize

@attribute height numeric
@attribute weight numeric
@attribute fhl numeric
@attribute fiftyMeter numeric
@attribute zwtqq numeric
@attribute ytxs numeric
@attribute yqmp numeric
@attribute ldty numeric

@data
-0.373234,0.514941,1.229906,1.187442,0.697181,-0.748494,-2.079971,233
0.068498,0.688221,0.979572,0.690111,0.324747,-0.493044,-0.684769,197
1.050124,1.930062,0.08891,1.518996,-0.842211,-0.237595,0.77385,226
-0.471397,-0.389966,0.817514,-1.133437,0.858569,-0.237595,-1.826298,247
-0.144188,-0.736526,1.905808,-0.138774,-0.370462,0.784203,-1.192115,235
-1.322139,-0.832792,0.962444,-0.636106,-0.122173,-0.237595,-1.604334,229
0.54295,-0.505486,0.36823,-0.801883,-0.345633,-0.237595,-0.65306,201
-1.174895,-0.967566,0.550051,0.690111,1.330318,-0.237595,-0.779897,191
0.281183,-1.371886,-2.166732,-0.304551,-1.388447,-0.237595,-0.621351,247
-2.1238,-0.592126,-0.861042,0.358557,-0.966356,-0.237595,-0.938442,215
-0.062386,1.747155,2.059961,0.027003,1.131687,-0.237595,-0.462805,224
-1.35486,-1.227486,0.431472,-0.304551,0.61028,-0.237595,-1.509207,229
0.821078,0.245394,2.110028,0.19278,-0.718067,-0.237595,-0.811606,212
-1.158535,-1.535539,-1.240496,0.524334,-0.705652,2.572349,0.139668,210
0.412067,-0.515112,-2.258961,1.187442,-0.358048,-1.514842,-0.082296,149
-1.256697,-0.486232,-0.573817,0.855888,-0.966356,-1.259392,0.520177,193
-1.174895,0.187634,1.095516,0.358557,0.424063,0.017855,-0.621351,220
0.199381,-0.582499,0.770082,-0.470328,0.821325,-0.237595,-1.509207,260
0.019417,1.602755,-0.066561,2.182105,0.548207,-1.514842,1.186069,198
-0.864047,-0.909806,-0.09423,0.855888,0.064044,-0.748494,-0.177423,220
-0.029665,0.428301,-0.056021,-0.304551,0.560622,0.273304,-0.145714,221
0.755636,1.111795,1.725304,0.358557,0.001971,-1.259392,-0.272551,203
-0.046025,0.139501,0.038843,0.027003,0.088873,1.295102,-0.335969,237
-0.291432,-0.418846,-0.547466,2.182105,-0.705652,-1.003943,0.615305,159
-0.487757,-1.814713,1.179839,0.027003,1.466877,1.295102,-0.367678,230
0.199381,4.355982,0.215394,2.845213,-0.072515,-1.514842,1.50316,189
-2.009277,-1.265993,-2.826824,1.021665,0.0268,-1.259392,1.059233,199
0.13394,0.774861,0.760859,-0.304551,0.014386,-1.003943,-0.272551,221
-0.536838,0.822995,-0.933508,0.690111,-0.345633,0.784203,1.598288,190
0.395707,0.100994,1.182474,0.690111,-0.30839,-0.493044,0.77385,189
1.606379,0.043234,1.171934,0.027003,-0.64358,-0.237595,1.217778,213
0.428427,-1.015699,-0.280004,-0.636106,0.846154,-0.237595,-0.272551,216
1.033763,0.563075,-0.165377,0.027003,-0.53185,-0.237595,-0.240842,223
0.951961,0.938515,0.489444,-0.304551,-0.134588,-0.237595,-0.589642,122
-0.733163,-0.572872,-0.025717,-0.304551,0.61028,0.017855,-1.065279,215
-0.684082,0.360915,-0.426252,0.358557,0.436477,-0.237595,0.171377,230
-0.127827,-1.063833,-0.283956,-0.304551,-0.320804,-0.237595,-1.128697,230
-0.651361,-0.062659,-0.119263,0.690111,-0.569093,-0.237595,0.80556,195
0.984682,0.774861,-0.639694,0.524334,0.684766,0.273304,-0.050587,231
-0.324153,-0.428472,0.677853,-0.96766,0.995128,-0.237595,-1.38237,250
-0.144188,0.524568,0.343196,1.684773,0.61028,-0.237595,-0.050587,185
1.017403,2.459528,-0.025717,1.021665,-0.345633,-1.259392,-0.114005,213
0.935601,0.129874,1.598819,1.518996,0.870983,-0.237595,0.77385,210
0.232102,0.832621,1.06126,2.182105,1.677923,-0.237595,1.217778,229
-0.160548,2.642435,0.301035,2.513659,-0.966356,-0.237595,1.090942,186
-0.847687,-0.293699,-1.078438,-0.801883,1.255831,-0.493044,0.932396,200
-0.20963,-0.091539,1.401187,0.358557,-0.382877,-0.237595,1.534869,247
0.084858,-0.457352,0.821466,-1.796545,1.566193,2.3169,-1.318952,262
-0.471397,-0.226312,-0.702937,-1.133437,-0.842211,-0.237595,0.456759,238
-0.651361,-0.322579,-1.456574,-0.138774,-0.358048,-0.237595,0.234795,224
1.769983,1.419848,0.98616,-0.470328,-0.817383,-0.237595,-0.748188,254
0.54295,2.931235,2.332694,0.524334,1.86414,-0.237595,0.171377,221
0.297544,0.428301,-1.058675,-0.470328,0.299918,-0.237595,-0.145714,241
1.459135,0.582328,0.676536,6.492309,0.113701,-0.237595,0.234795,218
-0.487757,-0.033779,-1.891365,0.027003,-0.879455,1.550552,-1.636043,189
0.16666,0.755608,-0.701619,1.518996,-0.668409,-0.493044,-0.65306,190
1.328251,0.283901,1.946652,-0.138774,-0.42012,0.784203,-1.604334,211
1.197368,1.275448,-0.290544,-0.470328,1.293075,-0.237595,-0.621351,260
0.264823,-0.255192,1.1469,-0.470328,0.784082,2.572349,-1.192115,220
0.379346,0.832621,0.382723,-0.470328,0.784082,2.572349,0.171377,252
